iter	Passed	Remaining
419	2079	2871
420	2083	2865
421	2087	2859
422	2092	2854
423	2096	2848
424	2101	2842
425	2106	2837
426	2110	2832
427	2115	2826
428	2120	2821
429	2125	2817
430	2129	2811
431	2134	2806
432	2139	2801
433	2144	2796
434	2149	2791
435	2153	2786
436	2159	2781
437	2162	2775
438	2168	2770
439	2173	2766
440	2178	2761
441	2182	2754
442	2185	2747
443	2189	2741
444	2192	2734
445	2196	2728
446	2201	2723
447	2206	2718
448	2210	2712
449	2214	2707
450	2219	2702
451	2224	2696
452	2228	2690
453	2233	2685
454	2237	2680
455	2241	2674
456	2246	2668
457	2250	2663
458	2254	2657
459	2259	2652
460	2264	2647
461	2268	2642
462	2272	2636
463	2277	2631
464	2282	2626
465	2286	2619
466	2290	2613
467	2295	2608
468	2299	2603
469	2304	2598
470	2309	2593
471	2313	2588
472	2317	2581
473	2320	2575
474	2324	2569
475	2328	2563
476	2332	2557
477	2336	2551
478	2340	2545
479	2344	2540
480	2349	2535
481	2353	2529
482	2357	2523
483	2361	2517
484	2365	2511
485	2370	2506
486	2373	2500
487	2377	2494
488	2382	2489
489	2388	2485
490	2392	2479
491	2396	2474
492	2402	2470
493	2407	2465
494	2412	2460
495	2416	2455
496	2421	2450
497	2424	2443
498	2429	2438
499	2434	2434
500	2439	2429
501	2444	2424
502	2449	2419
503	2454	2415
504	2458	2410
505	2463	2404
506	2468	2400
507	2472	2395
508	2477	2390
509	2481	2384
510	2486	2379
511	2491	2374
512	2495	2368
513	2498	2362
514	2503	2357
515	2508	2352
516	2513	2347
517	2518	2343
518	2522	2338
519	2526	2332
520	2531	2327
521	2536	2322
522	2540	2317
523	2545	2312
524	2550	2307
525	2553	2301
526	2558	2296
527	2562	2291
528	2568	2286
529	2572	2281
530	2577	2276
531	2582	2271
532	2586	2266
533	2591	2261
534	2596	2256
535	2600	2250
536	2604	2245
537	2609	2240
538	2614	2235
539	2619	2231
540	2624	2226
541	2628	2221
542	2633	2216
543	2638	2211
544	2643	2206
545	2648	2202
546	2653	2197
547	2657	2192
548	2662	2187
549	2666	2182
550	2671	2176
551	2674	2171
552	2679	2166
553	2684	2161
554	2688	2155
555	2693	2151
556	2698	2146
557	2703	2141
558	2706	2134
559	2710	2130
560	2716	2125
561	2719	2119
562	2724	2114
563	2729	2110
564	2733	2104
565	2738	2099
566	2743	2094
567	2747	2089
568	2751	2084
569	2756	2079
570	2761	2074
571	2764	2068
572	2768	2062
573	2771	2056
574	2776	2051
575	2779	2046
576	2784	2041
577	2789	2036
578	2793	2030
579	2796	2025
580	2800	2019
581	2805	2014
582	2809	2009
583	2812	2003
584	2816	1998
585	2822	1993
586	2826	1988
587	2831	1983
588	2835	1978
589	2838	1972
590	2843	1968
591	2848	1963
592	2854	1958
593	2857	1953
594	2861	1947
595	2866	1943
596	2871	1938
597	2875	1933
598	2880	1928
599	2883	1922
600	2887	1917
601	2891	1911
602	2895	1906
603	2898	1900
604	2901	1894
605	2905	1888
606	2908	1883
